Accum,wp44,wp45,wp46,wp47,wpnr,wpnc
116,98.702702702703,98.783783783784,98.756756756757,98.72972972973,98.716216216216,98.650472334683
117,98.756756756757,98.783783783784,98.756756756757,98.72972972973,98.716216216216,98.650472334683
118,98.756756756757,98.810810810811,98.810810810811,98.72972972973,98.716216216216,98.785425101215
119,98.783783783784,98.837837837838,98.810810810811,98.783783783784,98.783783783784,98.785425101215
121,98.837837837838,98.864864864865,98.837837837838,98.810810810811,98.783783783784,98.785425101215
122,98.918918918919,98.891891891892,98.864864864865,98.810810810811,98.783783783784,98.785425101215
123,98.945945945946,98.918918918919,98.891891891892,98.837837837838,98.783783783784,98.920377867746
124,98.972972972973,98.972972972973,99,98.864864864865,98.986486486486,99.055330634278
125,99.135135135135,99.162162162162,99.054054054054,98.891891891892,98.986486486486,99.055330634278
126,99.162162162162,99.216216216216,99.216216216216,99,99.054054054054,99.19028340081
127,99.162162162162,99.216216216216,99.216216216216,99.162162162162,99.256756756757,99.19028340081
128,99.189189189189,99.216216216216,99.216216216216,99.189189189189,99.256756756757,99.19028340081
132,99.189189189189,99.216216216216,99.216216216216,99.216216216216,99.256756756757,99.19028340081
134,99.189189189189,99.216216216216,99.243243243243,99.243243243243,99.256756756757,99.325236167341
137,99.324324324324,99.297297297297,99.243243243243,99.243243243243,99.256756756757,99.325236167341
138,99.351351351351,99.351351351351,99.378378378378,99.243243243243,99.256756756757,99.460188933873
139,99.351351351351,99.378378378378,99.378378378378,99.378378378378,99.391891891892,99.460188933873
142,99.351351351351,99.378378378378,99.378378378378,99.378378378378,99.459459459459,99.460188933873
144,99.378378378378,99.378378378378,99.378378378378,99.378378378378,99.459459459459,99.460188933873
156,99.378378378378,99.378378378378,99.378378378378,99.405405405405,99.459459459459,99.460188933873
162,99.486486486486,99.459459459459,99.378378378378,99.405405405405,99.459459459459,99.460188933873
163,99.486486486486,99.513513513513,99.513513513513,99.405405405405,99.459459459459,99.595141700405
164,99.486486486486,99.513513513513,99.513513513513,99.540540540541,99.594594594595,99.595141700405
167,99.621621621622,99.594594594595,99.513513513513,99.540540540541,99.594594594595,99.595141700405
168,99.621621621622,99.648648648649,99.648648648649,99.540540540541,99.594594594595,99.730094466937
169,99.621621621622,99.648648648649,99.648648648649,99.675675675676,99.72972972973,99.730094466937
170,99.648648648649,99.648648648649,99.648648648649,99.675675675676,99.72972972973,99.730094466937
171,99.675675675676,99.648648648649,99.72972972973,99.675675675676,99.72972972973,99.730094466937
172,99.675675675676,99.648648648649,99.72972972973,99.702702702703,99.72972972973,99.730094466937
174,99.675675675676,99.675675675676,99.72972972973,99.702702702703,99.72972972973,99.730094466937
175,99.675675675676,99.675675675676,99.72972972973,99.72972972973,99.72972972973,99.730094466937
179,99.675675675676,99.702702702703,99.72972972973,99.72972972973,99.72972972973,99.730094466937
184,99.702702702703,99.702702702703,99.72972972973,99.72972972973,99.72972972973,99.730094466937
190,99.702702702703,99.72972972973,99.72972972973,99.72972972973,99.72972972973,99.730094466937
196,99.72972972973,99.72972972973,99.72972972973,99.72972972973,99.72972972973,99.730094466937
449,99.864864864865,99.810810810811,99.72972972973,99.72972972973,99.72972972973,99.730094466937
450,99.864864864865,99.864864864865,99.864864864865,99.72972972973,99.72972972973,99.865047233468
451,99.864864864865,99.864864864865,99.864864864865,99.864864864865,99.797297297297,99.865047233468
452,100,99.945945945946,99.864864864865,99.864864864865,99.797297297297,99.865047233468
453,100,100,100,99.864864864865,99.797297297297,100
454,100,100,100,100,99.932432432432,100
485,100,100,100,100,100,100
